git push origi0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.52,141.71,321.46,404.77,321.03,141.13,29.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.36,138.21,318.97,410.16,331.65,147.71,30.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.94,142.80,323.10,407.42,325.44,144.02,30.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.26,174.45,378.29,484.01,451.99,311.15,131.17,26.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.91,120.58,288.39,391.24,341.61,178.94,51.31,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.37,164.33,356.66,452.10,428.86,305.18,132.03,27.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.72,127.93,299.33,389.28,315.17,140.07,29.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.58,150.34,339.03,462.84,473.27,362.04,163.81,34.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.58,135.15,311.06,396.33,314.86,137.99
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.44,151.17,349.55,445.87,356.28,156.39,31.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.11,153.92,356.44,456.66,367.95,162.84,33.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.99,149.17,346.80,445.91,361.37,160.69,33.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.86,120.40,303.62,450.42,463.35,331.49,137.92,26.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.58,134.79,321.74,438.36,393.57,221.62,71.98,10.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.98,180.62,391.56,492.34,461.51,323.05,136.42,26.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.83,147.85,343.63,443.48,359.68,164.32,36.65,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.22,134.17,323.19,470.34,502.40,390.50,175.05,36.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.44,150.38,346.76,440.74,350.58,153.27
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.70,132.35,308.96,394.62,316.75,138.21,28.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.74,140.59,323.11,406.61,322.57,139.90,28.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.99,133.45,311.53,399.82,323.62,142.27,29.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.59,62.20,197.63,349.55,397.73,298.51,125.50,24.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.41,126.47,298.25,401.81,371.50,228.43,81.84,13.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.53,135.67,311.93,417.88,405.93,286.52,119.24,23.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.20,131.43,308.72,403.33,340.15,171.68,47.98,4.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.14,96.49,252.87,392.52,435.58,343.22,152.69,31.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.02,137.44,316.83,400.16,319.11,139.05
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.48,158.22,373.51,484.38,391.80,170.58,34.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.08,167.94,388.94,490.55,392.43,169.50,34.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.11,173.09,400.01,499.25,390.51,166.74,33.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.16,90.21,259.16,443.01,502.69,388.72,167.86,33.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.64,173.70,398.59,516.42,479.52,309.30,120.56,21.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.85,135.85,339.46,488.96,502.76,368.72,155.83,31.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.14,161.52,381.92,497.59,423.16,219.54,66.06,8.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.16,117.57,306.95,487.59,537.68,419.26,183.63,37.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.57,174.24,402.18,504.54,403.41,175.09
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.97,312.63,744.95,968.94,789.20,345.24,70.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.06,138.60,456.42,844.28,1006.80,799.16,350.19,71.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.61,371.08,840.76,1016.05,768.65,320.26,63.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.67,254.98,642.08,959.87,1038.79,805.90,354.00,72.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.70,378.71,848.85,1055.05,896.06,497.57,167.72,26.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.35,254.65,640.51,965.64,1026.87,788.44,343.35,70.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.32,332.72,775.66,988.37,796.39,365.05,86.34,4.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.83,168.33,514.60,940.55,1097.38,871.80,383.66,79.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.37,346.68,798.56,1003.65,796.48,345.50
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.89,669.15,1550.77,1967.11,1579.61,694.54,142.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.32,522.57,1316.14,1955.95,2090.06,1588.66,694.45,142.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.23,768.36,1703.63,2059.94,1625.55,800.12,217.16,22.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,104.69,552.08,1345.36,1975.47,2101.79,1625.57,722.25,149.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,164.08,781.95,1743.09,2122.85,1679.52,782.83,194.61,13.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.55,499.46,1279.40,1962.46,2107.40,1614.52,714.59,148.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.18,663.13,1537.93,1960.04,1562.04,683.09,141.04,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.03,305.20,1011.95,1879.70,2224.55,1785.31,798.50,167.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140.81,686.25,1567.55,1953.43,1533.52,662.66
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.43,1147.26,2569.41,3161.83,2481.11,1081.91,223.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,222.73,1079.10,2463.28,3351.76,3334.21,2431.46,1047.97,211.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,248.57,1180.99,2612.73,3242.70,2775.03,1615.51,567.91,89.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166.82,855.21,2107.58,3145.45,3342.37,2556.63,1134.60,236.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,256.28,1229.87,2739.55,3335.65,2591.57,1133.69,238.91,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.56,749.02,1980.43,3088.17,3278.40,2446.46,1062.43,219.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203.85,1015.08,2360.97,3022.99,2420.09,1062.52,217.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.66,703.91,1943.88,3170.07,3536.56,2801.66,1263.76,268.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.87,1095.67,2466.71,3025.25,2347.18,1009.46
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,305.76,1453.45,3223.44,3911.39,3025.13,1304.75,267.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,256.57,1259.62,2929.10,4047.96,4041.31,2940.25,1263.88,255.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287.35,1376.68,3086.79,3965.66,3597.94,2282.54,888.02,166.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159.19,928.74,2440.93,3787.64,4078.20,3118.95,1372.46,284.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,310.89,1475.45,3287.97,4024.19,3140.15,1362.52,280.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,179.40,971.12,2497.77,3792.96,3903.03,2794.24,1167.44,230.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,258.76,1267.98,2913.47,3680.72,2919.09,1274.10,260.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.12,1138.68,2779.50,4120.90,4355.23,3381.42,1527.57,324.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,301.50,1426.43,3150.97,3805.87,2952.86,1308.63
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,310.95,1490.10,3324.46,4041.84,3120.72,1339.10,271.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.45,1004.02,2579.57,3902.17,4115.55,3077.34,1332.72,272.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,280.43,1364.55,3115.89,4039.78,3629.05,2205.04,798.39,129.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,183.21,1004.06,2583.84,3984.18,4265.78,3248.28,1428.31,296.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,296.49,1437.53,3259.94,4056.76,3210.03,1403.69,288.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175.62,996.87,2572.38,3876.06,3992.92,2875.85,1201.95,237.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,280.38,1365.06,3096.65,3844.23,3001.19,1291.16,260.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,184.45,1024.55,2629.51,4071.46,4390.41,3408.47,1524.85,322.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,325.88,1535.87,3377.06,4078.22,3231.12,1531.98
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.52,1402.43,3160.83,3880.87,3018.97,1299.54,264.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.46,787.22,2177.86,3598.07,3973.92,3019.93,1311.28,268.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,266.00,1309.56,3019.50,3914.35,3397.78,1899.37,622.13,92.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.56,867.65,2306.82,3714.90,4082.26,3145.25,1384.07,285.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,276.94,1353.19,3099.95,3890.49,3092.05,1350.28,276.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.86,1170.60,2813.69,3999.06,4067.43,2981.93,1283.88,260.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282.38,1369.24,3097.92,3842.74,3049.52,1403.10,329.09,17.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.39,654.01,2007.71,3524.62,4034.91,3151.32,1383.42,285.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,308.94,1471.75,3268.89,4006.19,3254.14,1621.85
